id,trade_date,setup_name,direction,grade,score,ts_et,spot,charm_limit_entry,abs_es_price,lis,target,max_plus_gex,max_minus_gex,gap_to_lis,paradigm,vix,overvix,greek_alignment,spot_vol_beta,outcome_result,outcome_pnl,outcome_max_profit,outcome_max_loss,outcome_elapsed_min,outcome_first_event,outcome_target_level,outcome_stop_level,bofa_stop_level,bofa_target_level,abs_vol_ratio,vanna_all,vanna_weekly,vanna_monthly,comments
838,2026-03-16,Skew Charm,short,B,60.0,2026-03-16 13:14:37.645104,6703.75,6711.5,,,6693.75,,,,BOFA-PURE,24.07,,-1,-1.99,LOSS,-20.0,9.97,-26.04,116,stop,,6723.75,,,,7398527135.83,387703048.05,1608910768.09,
839,2026-03-16,DD Exhaustion,short,A,57.0,2026-03-16 13:17:06.536721,6700.53,6717.5,,,,,,,BOFA-PURE,24.18,,-1,-2.09,LOSS,-12.0,6.75,-20.59,113,stop,,6712.53,,,,7429513439.0,422655030.0,1658268071.44,
836,2026-03-16,BofA Scalp,short,A+,95.0,2026-03-16 13:28:37.574696,6704.35,,,6699.0,6687.3,,,4.35,BOFA-PURE,24.04,,-3,-1.85,EXPIRED,-7.1,4.03,-7.86,30,timeout,6687.3,6711.0,6711.0,6687.3,,7260838551.59,201071066.1,1356620080.29,
844,2026-03-16,BofA Scalp,short,A,75.0,2026-03-16 13:59:25.200676,6698.13,6708.0,,6701.0,6688.13,,,2.87,BOFA-PURE,24.05,,-3,-2.12,EXPIRED,-8.3,1.46,-11.33,30,timeout,6688.13,6713.0,6713.0,6688.13,,7265609514.68,249314276.66,1402497820.4,
847,2026-03-16,DD Exhaustion,short,A,60.0,2026-03-16 14:13:39.215799,6702.77,6716.0,,,,,,,BOFA-PURE,23.81,,-1,-2.4,LOSS,-12.0,0.15,-18.35,56,stop,,6714.77,,,,7404714437.24,406350412.1,1630335087.09,
848,2026-03-16,Skew Charm,short,B,55.0,2026-03-16 14:21:09.168058,6707.68,6717.5,,,6697.68,,,,BOFA-PURE,23.66,,-1,-2.41,LOSS,-20.0,5.06,-22.11,49,stop,,6727.68,,,,7479799962.4,484705954.12,1731737671.7,
850,2026-03-16,DD Exhaustion,short,A+,85.0,2026-03-16 14:43:39.757736,6709.59,6717.5,,,,,,,BOFA-PURE,23.56,,-1,-2.49,LOSS,-12.0,6.97,-20.2,27,stop,,6721.59,,,,7451440894.3,456175873.59,1684312701.58,
851,2026-03-16,Skew Charm,short,C,43.0,2026-03-16 14:52:39.609796,6709.18,6717.5,,,6699.18,,,,BOFA-PURE,23.61,,-1,-2.53,LOSS,-20.0,6.56,-20.61,18,stop,,6729.18,,,,7499453002.65,500379177.44,1739011975.49,
856,2026-03-17,Skew Charm,short,A+,85.0,2026-03-17 09:45:34.126957,6746.34,6753.0,,,6736.34,,,,GEX-MESSY,22.19,,-1,-0.73,WIN,10.8,19.58,-7.96,35,target,6734.76,6766.34,,,,7994336318.51,1170552643.12,2687059260.06,
861,2026-03-17,Skew Charm,short,A+,85.0,2026-03-17 10:25:36.133591,6731.09,,,,6721.09,,,,AG-PURE,22.51,,-1,-0.54,WIN,10.0,17.9,-12.36,79,target,6721.1899,6751.09,,,,7794176208.21,956832960.93,2410187410.57,
860,2026-03-17,AG Short,short,A,75.0,2026-03-17 10:35:06.009191,6738.48,,,6742.0,6694.0,6760.0,6680.0,0.52,AG-PURE,22.24,,-1,-0.54,WIN,13.7,22.46,-7.8,78,target,6718.1899,6755.65,,,,7753972919.19,908454583.22,2332491813.36,
864,2026-03-17,AG Short,short,A,75.0,2026-03-17 10:44:06.477768,6741.85,,,6743.0,6726.0,6760.0,6680.0,1.15,AG-PURE,21.98,,-1,-0.78,WIN,15.4,25.83,-4.43,57,target,6718.1899,6759.02,,,,7812534699.9,942183196.23,2387916292.48,
865,2026-03-17,DD Exhaustion,short,A,68.0,2026-03-17 10:45:36.039030,6742.26,6753.0,,,,,,,AG-PURE,21.93,,-1,-0.78,WIN,17.0,29.07,-1.19,55,target,6718.1899,6754.26,,,,7875945757.75,1004561810.24,2481421721.97,
866,2026-03-17,Paradigm Reversal,short,A,70.0,2026-03-17 10:57:07.569918,6742.59,6754.5,,6744.0,,,,1.41,SIDIAL-MESSY,21.95,,-1,-0.97,WIN,10.0,10.07,0.75,10,10pt,6732.59,6757.59,,,,7909450754.21,1045225859.97,2551539508.83,
867,2026-03-17,Skew Charm,short,A+,93.0,2026-03-17 10:57:08.203038,6742.59,6754.5,,,6732.59,,,,SIDIAL-MESSY,21.95,,-1,-0.97,WIN,9.0,16.07,0.75,21,target,6734.52,6762.59,,,,7909450754.21,1045225859.97,2551539508.83,
870,2026-03-17,BofA Scalp,short,A,85.0,2026-03-17 11:25:06.264577,6729.71,6739.5,,6734.0,6720.14,,,2.29,BofA-LIS,22.42,,-3,-0.74,WIN,10.0,11.47,-4.57,20,10pt,6720.14,6746.0,6746.0,6720.14,,7719730834.43,765562480.2,2146366437.78,
874,2026-03-17,AG Short,short,A,75.0,2026-03-17 11:44:36.391406,6721.15,6719.5,,6723.0,6699.0,6750.0,6680.0,1.85,AG-PURE,22.89,,-3,-0.21,EXPIRED,6.4,7.14,-10.3,252,timeout,,6741.15,,,,7581438726.89,613802352.59,1889888137.54,
877,2026-03-17,AG Short,short,A,75.0,2026-03-17 11:53:06.415313,6721.36,,,6722.0,6701.0,6750.0,6680.0,0.64,AG-LIS,22.83,,-3,-0.27,WIN,5.0,10.56,-2.2,25,target,6721.36,6741.36,,,,7675650141.28,670156377.82,1977395604.53,
880,2026-03-17,AG Short,short,A,75.0,2026-03-17 12:19:36.278997,6721.2,6721.0,,6721.0,6706.0,6750.0,6680.0,0.8,AG-LIS,22.74,,-3,-0.27,EXPIRED,6.4,6.45,-10.25,217,timeout,,6741.2,,,,7640043825.99,556029472.58,1816750289.48,
883,2026-03-17,AG Short,short,A-Entry,65.0,2026-03-17 12:43:06.877809,6718.74,6719.5,,6721.0,6707.0,6750.0,6680.0,2.26,AG-PURE,22.73,,-3,-0.44,EXPIRED,4.0,3.99,-12.71,194,timeout,,6738.74,,,,7700272164.0,570512136.85,1846665459.6,
888,2026-03-17,AG Short,short,A-Entry,60.0,2026-03-17 13:04:39.958537,6727.83,,,6732.0,6716.0,6750.0,6680.0,4.17,AG-LIS,22.41,,-3,-0.52,WIN,11.5,13.08,-3.62,172,target,6727.83,6747.83,,,,7697740659.25,570836314.57,1855361615.11,
891,2026-03-17,AG Short,short,A-Entry,65.0,2026-03-17 13:48:45.788920,6722.09,,,6724.0,6710.0,6750.0,6700.0,1.91,AG-LIS,22.44,-1.73,-3,-0.68,EXPIRED,7.3,7.34,-9.36,128,timeout,,6742.09,,,,7755990892.71,576360860.11,1894018382.83,
893,2026-03-17,AG Short,short,A-Entry,65.0,2026-03-17 13:55:26.429197,6727.61,,,6729.0,6716.0,6750.0,6700.0,1.39,AG-LIS,22.23,-1.84,-3,-0.72,WIN,11.4,12.86,-3.84,121,target,6727.61,6747.61,,,,7770271863.48,588260728.52,1903549551.67,
897,2026-03-17,BofA Scalp,short,A-Entry,70.0,2026-03-17 14:08:56.163676,6730.76,6737.5,,6732.0,6720.76,,,1.24,BOFA-PURE,22.09,-1.91,-3,-0.95,WIN,10.0,10.07,-0.69,16,10pt,6720.76,6744.0,6744.0,6720.76,,7917647028.26,717942745.62,2086856440.93,
903,2026-03-17,DD Exhaustion,short,A-Entry,50.0,2026-03-17 15:16:55.804552,6723.48,6724.0,,,,,,,BOFA-PURE,22.26,-1.87,1,-0.83,EXPIRED,8.7,8.73,-0.58,40,timeout,,6735.48,,,,7800782858.5,543804775.22,1844234379.45,
904,2026-03-17,Skew Charm,short,B,53.0,2026-03-17 15:16:59.029477,6723.48,6724.0,,,6713.48,,,,BOFA-PURE,22.26,-1.87,1,-0.83,EXPIRED,8.7,8.73,-0.58,40,timeout,,6743.48,,,,7800782858.5,543804775.22,1844234379.45,
907,2026-03-18,Skew Charm,short,A+,85.0,2026-03-18 09:48:40.570242,6701.98,,,,6691.98,,,,AG-TARGET,22.82,-2.1,-1,0.48,WIN,6.2,10.32,-0.87,19,target,6699.66,6721.98,,,,7658814434.5,343125213.5,2028736105.86,
908,2026-03-18,DD Exhaustion,short,A,61.0,2026-03-18 10:09:10.441091,6702.07,,,,,,,,AG-TARGET,22.6,-2.27,-1,0.38,WIN,13.0,21.1,1.91,7,target,6685.97,6714.07,,,,7676670381.24,313882736.33,2025389291.53,
