id,trade_date,setup_name,direction,grade,score,ts_et,spot,charm_limit_entry,abs_es_price,lis,target,max_plus_gex,max_minus_gex,gap_to_lis,paradigm,vix,overvix,greek_alignment,spot_vol_beta,outcome_result,outcome_pnl,outcome_max_profit,outcome_max_loss,outcome_elapsed_min,outcome_first_event,outcome_target_level,outcome_stop_level,bofa_stop_level,bofa_target_level,abs_vol_ratio,vanna_all,vanna_weekly,vanna_monthly,comments
966,2026-03-19,Skew Charm,short,C,48.0,2026-03-19 11:39:45.071265,6575.4,6592.5,,,6565.4,,,,GEX-LIS,25.8,-1.11,-1,0.06,LOSS,-20.0,4.24,-20.87,24,stop,,6595.4,,,,6781349255.05,-152312351.51,1083111792.59,
967,2026-03-19,DD Exhaustion,short,A,65.0,2026-03-19 11:48:15.015651,6574.48,6578.0,,,,,,,GEX-LIS,25.82,-1.09,-1,0.15,LOSS,-12.0,-2.66,-13.74,13,stop,,6586.48,,,,6804084734.14,-173163687.41,1051576256.58,
969,2026-03-19,Paradigm Reversal,short,A-Entry,58.8,2026-03-19 12:03:24.558285,6595.32,,,6597.0,,,,1.68,BOFA-PURE,25.1,-1.33,-1,-0.01,WIN,10.0,11.11,-1.41,12,10pt,6585.32,6610.32,,,,6953747525.45,-39132627.56,1285473232.79,
971,2026-03-19,Skew Charm,short,B,53.0,2026-03-19 12:11:53.200166,6589.07,6592.5,,,6579.07,,,,BOFA-PURE,25.16,-1.3,-1,-0.29,WIN,12.8,23.58,-4.77,67,target,6573.49,6609.07,,,,7126205168.99,85347556.22,1486688829.68,
975,2026-03-19,Skew Charm,short,B,60.0,2026-03-19 12:43:24.475864,6590.18,6592.5,,,6580.18,,,,BOFA-PURE,24.91,-1.32,-1,-0.4,WIN,13.3,24.69,0.05,35,target,6573.49,6610.18,,,,7045274369.07,-64580391.06,1265865465.4,
976,2026-03-19,DD Exhaustion,short,A-Entry,47.0,2026-03-19 12:45:54.440970,6587.51,6592.5,,,,,,,BOFA-PURE,25.02,-1.28,-1,-0.4,WIN,13.5,22.02,-1.16,31,target,6570.49,6599.51,,,,7100056218.48,-2897990.09,1357288606.23,
970,2026-03-19,BofA Scalp,short,A+,90.0,2026-03-19 13:08:55.122042,6571.06,,,6597.0,6586.73,,,0.94,BOFA-PURE,25.42,-1.34,-1,-0.01,WIN,10.0,10.61,0.9,6,10pt,6586.73,6609.0,6609.0,6586.73,,6981295426.88,-31977318.75,1301739658.07,
983,2026-03-19,Skew Charm,short,B,55.0,2026-03-19 14:16:24.541028,6591.65,6592.5,,,6581.65,,,,BOFA-PURE,24.55,-1.39,-1,-0.65,WIN,10.6,19.27,0.98,40,target,6580.38,6611.65,,,,7112978175.9,-62920308.08,1245356784.52,
984,2026-03-19,DD Exhaustion,short,A,60.0,2026-03-19 14:17:55.527160,6588.21,6592.5,,,,,,,BOFA-PURE,24.63,-1.35,-1,-0.89,LOSS,-1.0,15.83,-12.11,43,stop,,6600.21,,,,7146321172.91,-23122855.3,1304320765.4,
988,2026-03-19,Skew Charm,short,C,38.0,2026-03-19 15:03:25.226105,6608.78,6609.5,,,6598.78,,,,BOFA-PURE,23.94,-1.58,-1,-0.97,LOSS,-20.0,1.43,-23.98,3,stop,,6628.78,,,,7246888027.7,32024629.97,1348369254.26,
989,2026-03-19,DD Exhaustion,short,A+,80.0,2026-03-19 15:04:26.060461,6607.35,6609.5,,,,,,,BOFA-PURE,24.02,-1.56,-1,-0.97,LOSS,-12.0,-4.62,-12.48,1,stop,,6619.35,,,,7344115006.25,141255901.03,1475094930.12,
992,2026-03-19,Skew Charm,short,LOG,30.0,2026-03-19 15:35:55.098363,6602.9,6614.0,,,6592.9,,,,BOFA-PURE,24.32,-1.36,-1,-0.88,EXPIRED,-5.0,1.13,-9.95,21,timeout,,6622.9,,,,7440281277.0,271370639.46,1684503560.58,
995,2026-03-20,Skew Charm,short,C,45.0,2026-03-20 09:45:42.488134,6591.02,6592.5,,,6581.02,,,,GEX-LIS,24.71,-1.21,-1,0.41,WIN,20.5,38.98,-0.77,20,target,6560.04,6605.02,,,,7220479702.8,144171841.28,1211707748.25,
