trs_t,div_t,dcl_min,dz_min,gate,n_sigs,spd,wr,pnl,max_dd,pf,quality
0.5,0.15,0,1.5,trend_cons_60,38,1.9,0.368,-10.2,-33.8,0.89,-11.5
0.5,0.15,0,1.5,none,38,1.9,0.368,-10.2,-33.8,0.89,-11.5
0.5,0.2,0,1.5,trend_cons_60,38,1.9,0.368,-10.2,-33.8,0.89,-11.5
0.5,0.05,0,1.5,trend_cons_60,38,1.9,0.368,-10.2,-33.8,0.89,-11.5
0.5,0.1,0,1.5,trend_cons_60,38,1.9,0.368,-10.2,-33.8,0.89,-11.5
0.5,0.2,0,1.5,none,38,1.9,0.368,-10.2,-33.8,0.89,-11.5
0.55,0.0,4,1.5,at_extreme,70,3.5,0.414,-11.8,-43.8,0.92,-12.7
0.5,0.0,3,0.5,at_extreme,156,7.8,0.449,-12.5,-62.5,0.97,-13.0
0.55,0.0,3,0.0,at_extreme,120,6.0,0.425,-13.2,-43.2,0.95,-13.9
0.25,0.0,0,1.5,vol_climax,111,5.5,0.36,-13.5,-55.0,0.95,-14.1
0.35,0.0,0,1.5,vol_climax,111,5.5,0.36,-13.5,-55.0,0.95,-14.1
0.3,0.0,0,1.5,vol_climax,111,5.5,0.36,-13.5,-55.0,0.95,-14.1
0.4,0.0,0,1.5,vol_climax,111,5.5,0.36,-13.5,-55.0,0.95,-14.1
0.2,0.0,0,1.5,vol_climax,111,5.5,0.36,-13.5,-55.0,0.95,-14.1
0.55,0.0,2,1.5,trend_cons_60,112,5.6,0.42,-13.8,-61.5,0.95,-14.5
0.55,0.0,2,1.5,none,112,5.6,0.42,-13.8,-61.5,0.95,-14.5
0.55,0.0,3,1.0,none,112,5.6,0.393,-14.5,-50.2,0.94,-15.4
0.55,0.0,3,1.0,trend_cons_60,112,5.6,0.393,-14.5,-50.2,0.94,-15.4
0.5,0.05,0,0.5,none,56,2.8,0.375,-14.5,-35.5,0.89,-16.3
0.5,0.05,0,0.5,trend_cons_60,56,2.8,0.375,-14.5,-35.5,0.89,-16.3
0.5,0.15,0,0.5,none,56,2.8,0.375,-14.5,-35.5,0.89,-16.3
0.5,0.2,0,0.5,trend_cons_60,56,2.8,0.375,-14.5,-35.5,0.89,-16.3
0.5,0.15,0,0.5,trend_cons_60,56,2.8,0.375,-14.5,-35.5,0.89,-16.3
