id,ts_et,setup_name,direction,grade,score,spot,paradigm,greek_alignment,vix,overvix,outcome_result,outcome_pnl,outcome_max_profit,outcome_max_loss,outcome_elapsed_min,outcome_first_event,outcome_target_level,outcome_stop_level
610,2026-03-09 13:23:41.421360,Skew Charm,short,C,43.0,6704.89,BOFA-PURE,-1,27.75,,WIN,6.7,11.39,0.71,28,target,,6701.5
613,2026-03-09 13:57:38.503789,Skew Charm,short,B,53.0,6701.92,BOFA-PURE,-1,27.66,,LOSS,-20.0,1.66,-21.05,37,stop,,6721.92
615,2026-03-09 14:26:41.507093,Skew Charm,long,C,48.0,6711.98,BOFA-PURE,3,26.98,,WIN,7.1,12.29,-0.05,30,target,,6716.27
617,2026-03-09 14:38:46.467806,Skew Charm,short,C,41.0,6721.53,BOFA-PURE,-1,26.79,,LOSS,-20.0,9.52,-24.65,41,stop,,6741.53
619,2026-03-09 15:01:42.293348,Skew Charm,long,C,41.0,6716.37,BOFA-PURE,3,27.11,,WIN,27.1,52.23,-4.36,22,target,,6760.6001
621,2026-03-09 15:30:38.742778,Skew Charm,short,LOG,8.0,6779.37,AG-LIS,-1,25.36,,LOSS,-20.0,6.18,-23.86,7,stop,,6799.37
623,2026-03-10 09:47:16.171846,Skew Charm,short,A,70.0,6784.76,GEX-TARGET,-1,24.49,,WIN,12.4,22.71,0.06,17,target,,6770.0498
624,2026-03-10 09:48:16.232924,Skew Charm,long,A,70.0,6779.53,GEX-TARGET,3,24.83,,WIN,25.2,48.48,-19.79,79,target,,6820.0098
626,2026-03-10 10:18:20.924594,Skew Charm,long,A+,85.0,6765.52,SIDIAL-MESSY,3,24.69,,WIN,32.2,62.49,1.8,49,target,,6820.0098
627,2026-03-10 10:23:49.134496,Skew Charm,short,A,70.0,6782.63,GEX-TARGET,-1,24.09,,LOSS,-20.0,0.69,-20.53,12,stop,,6802.63
629,2026-03-10 10:58:50.032274,Skew Charm,short,A+,80.0,6822.9,GEX-PURE,-1,22.75,,WIN,7.8,13.61,-5.4,71,target,,6817.29
634,2026-03-10 11:30:16.321351,Skew Charm,short,A+,85.0,6822.99,GEX-PURE,-1,22.88,,WIN,7.8,13.7,-5.31,40,target,,6817.29
637,2026-03-10 11:53:20.000099,Skew Charm,short,A,70.0,6823.86,BOFA-PURE,-1,22.88,,WIN,8.3,14.57,-1.54,17,target,,6817.29
642,2026-03-10 12:26:54.380959,Skew Charm,short,B,60.0,6822.9,BOFA-PURE,-1,22.84,,LOSS,-20.0,5.6,-20.15,61,stop,,6842.9
645,2026-03-10 12:45:28.069021,Skew Charm,short,B,55.0,6825.67,BOFA-PURE,-1,22.83,,WIN,19.8,37.51,-19.41,95,target,6796.16,6845.67
647,2026-03-10 13:15:23.338742,Skew Charm,short,B,55.0,6830.01,BOFA-PURE,-1,22.67,,WIN,6.2,10.49,-15.07,26,target,6827.52,6850.01
649,2026-03-10 13:45:52.250819,Skew Charm,short,B,60.0,6825.65,BOFA-PURE,-1,22.98,,WIN,19.7,37.49,-10.77,35,target,6796.16,6845.65
654,2026-03-10 14:18:22.526348,Skew Charm,long,B,55.0,6797.27,BOFA-PURE,3,24.64,,WIN,8.7,15.31,-9.63,17,target,6804.58,6777.27
659,2026-03-10 14:26:47.815403,Skew Charm,long,B,50.0,6802.49,BOFA-PURE,3,24.14,,WIN,6.0,10.04,-2.19,8,target,6804.53,6782.49
661,2026-03-10 14:29:19.022220,Skew Charm,short,B,55.0,6808.22,BOFA-PURE,-1,23.93,,WIN,6.1,10.24,-4.31,21,target,6805.98,6828.22
